# Region type : cellZone waterZone
#   Cells  : 318566
#   Volume : 1.912265e-03
#        Time	volAverage(W1)	volAverage(W2)	volAverage(L1)	volAverage(L2)	volAverage(sigma)
55.7335107107869732	1.307256e-01	1.162064e-01	1.462776e+00	2.301023e+00	1.327364e-01
55.7335710848087089	1.307258e-01	1.162065e-01	1.462810e+00	2.300929e+00	1.327347e-01
55.7336314295964144	1.307259e-01	1.162067e-01	1.462848e+00	2.301115e+00	1.327324e-01
55.7336917470791349	1.307261e-01	1.162068e-01	1.462857e+00	2.300328e+00	1.327295e-01
55.7337520415533518	1.307263e-01	1.162070e-01	1.462903e+00	2.301218e+00	1.327273e-01
55.7338123183156853	1.307264e-01	1.162071e-01	1.462925e+00	2.300447e+00	1.327255e-01
55.7338725872657292	1.307265e-01	1.162072e-01	1.462969e+00	2.301187e+00	1.327233e-01
55.7339328593469077	1.307267e-01	1.162074e-01	1.462958e+00	2.300688e+00	1.327179e-01
55.7339931446633017	1.307268e-01	1.162075e-01	1.462982e+00	2.300871e+00	1.327158e-01
55.7340534494623014	1.307269e-01	1.162076e-01	1.463006e+00	2.300958e+00	1.327134e-01
55.7341099849175876	1.307271e-01	1.162077e-01	1.463030e+00	2.301873e+00	1.327092e-01
55.7341703158277895	1.307272e-01	1.162078e-01	1.463038e+00	2.301173e+00	1.327073e-01
55.7342244256592778	1.307273e-01	1.162079e-01	1.463068e+00	2.300812e+00	1.327034e-01
55.7342845709791916	1.307274e-01	1.162081e-01	1.463089e+00	2.300838e+00	1.327014e-01
55.7343449594416498	1.307275e-01	1.162082e-01	1.463099e+00	2.301168e+00	1.326966e-01
55.7344053660467935	1.307277e-01	1.162083e-01	1.463141e+00	2.301639e+00	1.326941e-01
55.7344657832249197	1.307278e-01	1.162084e-01	1.463134e+00	2.300867e+00	1.326914e-01
55.7345262050660679	1.307279e-01	1.162085e-01	1.463161e+00	2.300540e+00	1.326902e-01
55.7345866263028071	1.307284e-01	1.162082e-01	1.463193e+00	2.301261e+00	1.326871e-01
55.7346470418250064	1.307285e-01	1.162083e-01	1.463190e+00	2.301092e+00	1.326826e-01
55.7347074474187991	1.307286e-01	1.162084e-01	1.463225e+00	2.301192e+00	1.326801e-01
55.7347678399885353	1.307288e-01	1.162085e-01	1.463244e+00	2.300860e+00	1.326771e-01
55.7348282161012207	1.307289e-01	1.162086e-01	1.463264e+00	2.300518e+00	1.326736e-01
55.7348885726897834	1.307290e-01	1.162088e-01	1.463295e+00	2.300862e+00	1.326717e-01
55.7349489063731411	1.307291e-01	1.162089e-01	1.463322e+00	2.301430e+00	1.326679e-01
55.7350092136313719	1.307292e-01	1.162090e-01	1.463333e+00	2.301012e+00	1.326637e-01
55.7350694909411999	1.307293e-01	1.162091e-01	1.463350e+00	2.301004e+00	1.326613e-01
55.7351297328531814	1.307295e-01	1.162092e-01	1.463365e+00	2.301192e+00	1.326573e-01
55.7351899357149847	1.307296e-01	1.162094e-01	1.463403e+00	2.301240e+00	1.326555e-01
55.7352459540201224	1.307297e-01	1.162095e-01	1.463435e+00	2.301228e+00	1.326517e-01
55.7353060936642137	1.307298e-01	1.162096e-01	1.463456e+00	2.300874e+00	1.326494e-01
55.7353597885449261	1.307299e-01	1.162097e-01	1.463465e+00	2.300859e+00	1.326450e-01
55.7354194934200535	1.307300e-01	1.162098e-01	1.463483e+00	2.301323e+00	1.326424e-01
55.7354795948726434	1.307301e-01	1.162100e-01	1.463515e+00	2.301217e+00	1.326405e-01
55.7355396866658808	1.307303e-01	1.162100e-01	1.463519e+00	2.300571e+00	1.326365e-01
55.7355997652392574	1.307304e-01	1.162101e-01	1.463555e+00	2.300801e+00	1.326338e-01
55.7356598302810653	1.307309e-01	1.162099e-01	1.463565e+00	2.300882e+00	1.326301e-01
55.7357198818001578	1.307310e-01	1.162100e-01	1.463565e+00	2.300687e+00	1.326249e-01
55.7357799216167749	1.307311e-01	1.162101e-01	1.463586e+00	2.300836e+00	1.326205e-01
55.7358399513858984	1.307312e-01	1.162102e-01	1.463594e+00	2.300732e+00	1.326175e-01
55.7358999693939978	1.307313e-01	1.162103e-01	1.463620e+00	2.301035e+00	1.326121e-01
55.7359599763095801	1.307314e-01	1.162103e-01	1.463706e+00	2.301699e+00	1.326143e-01
55.7360199735839288	1.307315e-01	1.162104e-01	1.463723e+00	2.300918e+00	1.326115e-01
55.7360799627703969	1.307316e-01	1.162105e-01	1.463745e+00	2.300527e+00	1.326072e-01
55.7361399452309527	1.307317e-01	1.162106e-01	1.463797e+00	2.300556e+00	1.326064e-01
55.736199921766044	1.307318e-01	1.162107e-01	1.463850e+00	2.300819e+00	1.326049e-01
55.7362598922314803	1.307319e-01	1.162107e-01	1.463856e+00	2.300943e+00	1.326004e-01
55.7363155956923961	1.307320e-01	1.162108e-01	1.463882e+00	2.301424e+00	1.325958e-01
55.7363755397946719	1.307321e-01	1.162109e-01	1.463912e+00	2.301362e+00	1.325926e-01
55.736428880068253	1.307322e-01	1.162109e-01	1.463922e+00	2.301269e+00	1.325877e-01
55.7364882126283305	1.307323e-01	1.162109e-01	1.463960e+00	2.301333e+00	1.325864e-01
55.7365481430582435	1.307324e-01	1.162110e-01	1.463971e+00	2.300929e+00	1.325845e-01
55.736608069896846	1.307325e-01	1.162110e-01	1.463975e+00	2.301154e+00	1.325798e-01
55.7366679873026527	1.307326e-01	1.162111e-01	1.463993e+00	2.301005e+00	1.325769e-01
55.7367278924019374	1.307331e-01	1.162108e-01	1.464022e+00	2.301040e+00	1.325753e-01
55.7367877826165383	1.307332e-01	1.162108e-01	1.464034e+00	2.301438e+00	1.325704e-01
55.7368476560406449	1.307333e-01	1.162109e-01	1.464043e+00	2.301144e+00	1.325665e-01
55.7369075115054571	1.307334e-01	1.162110e-01	1.464064e+00	2.301299e+00	1.325641e-01
55.7369673480283012	1.307335e-01	1.162110e-01	1.464084e+00	2.301961e+00	1.325601e-01
55.7370271650999243	1.307336e-01	1.162111e-01	1.464089e+00	2.302138e+00	1.325567e-01
55.7370869625120235	1.307337e-01	1.162111e-01	1.464121e+00	2.301882e+00	1.325545e-01
55.7371467407018528	1.307338e-01	1.162111e-01	1.464128e+00	2.301436e+00	1.325505e-01
55.737206500078031	1.307339e-01	1.162112e-01	1.464139e+00	2.301580e+00	1.325455e-01
55.7372662407023327	1.307340e-01	1.162112e-01	1.464155e+00	2.301344e+00	1.325424e-01
55.7373259620380281	1.307341e-01	1.162113e-01	1.464171e+00	2.301708e+00	1.325387e-01
55.737381495658191	1.307342e-01	1.162113e-01	1.464186e+00	2.301734e+00	1.325341e-01
55.737441165239332	1.307343e-01	1.162113e-01	1.464211e+00	2.301965e+00	1.325326e-01
55.7374943759456087	1.307344e-01	1.162113e-01	1.464185e+00	2.302060e+00	1.325252e-01
55.7375535491942955	1.307345e-01	1.162113e-01	1.464207e+00	2.301750e+00	1.325229e-01
55.7376131716827246	1.307346e-01	1.162114e-01	1.464216e+00	2.301601e+00	1.325187e-01
55.7376727822130604	1.307347e-01	1.162114e-01	1.464240e+00	2.302136e+00	1.325153e-01
55.7377323775439137	1.307349e-01	1.162114e-01	1.464246e+00	2.302302e+00	1.325110e-01
55.7377919556229315	1.307350e-01	1.162114e-01	1.464269e+00	2.302120e+00	1.325088e-01
55.7378515159536363	1.307354e-01	1.162111e-01	1.464277e+00	2.302118e+00	1.325053e-01
55.7379110586473487	1.307356e-01	1.162111e-01	1.464285e+00	2.301821e+00	1.325018e-01
55.737970582740175	1.307357e-01	1.162111e-01	1.464320e+00	2.302268e+00	1.324998e-01
55.7380300870777887	1.307358e-01	1.162112e-01	1.464323e+00	2.302146e+00	1.324956e-01
55.7380895692080571	1.307359e-01	1.162112e-01	1.464343e+00	2.301971e+00	1.324918e-01
55.7381490266748472	1.307361e-01	1.162112e-01	1.464329e+00	2.301861e+00	1.324872e-01
55.738208457512826	1.307362e-01	1.162112e-01	1.464371e+00	2.301752e+00	1.324881e-01
55.7382678609657987	1.307363e-01	1.162112e-01	1.464390e+00	2.301634e+00	1.324850e-01
55.7383272354452473	1.307365e-01	1.162112e-01	1.464404e+00	2.301794e+00	1.324818e-01
55.7383865802826222	1.307366e-01	1.162112e-01	1.464412e+00	2.301680e+00	1.324776e-01
55.738442134532832	1.307368e-01	1.162112e-01	1.464435e+00	2.301767e+00	1.324734e-01
55.7385014102671406	1.307369e-01	1.162113e-01	1.464452e+00	2.302337e+00	1.324699e-01
55.7385546578715889	1.307370e-01	1.162113e-01	1.464461e+00	2.302482e+00	1.324651e-01
55.7386138268774332	1.307372e-01	1.162113e-01	1.464494e+00	2.301394e+00	1.324650e-01
55.7386730287653549	1.307373e-01	1.162113e-01	1.464508e+00	2.302135e+00	1.324619e-01
55.7387322107491627	1.307375e-01	1.162113e-01	1.464526e+00	2.301979e+00	1.324585e-01
55.7387913721707307	1.307376e-01	1.162114e-01	1.464531e+00	2.301713e+00	1.324540e-01
55.7388505138604415	1.307378e-01	1.162114e-01	1.464537e+00	2.302168e+00	1.324504e-01
55.7389096373461967	1.307380e-01	1.162114e-01	1.464539e+00	2.301812e+00	1.324451e-01
55.7389687434736416	1.307382e-01	1.162114e-01	1.464576e+00	2.302050e+00	1.324433e-01
55.7390278323537629	1.307383e-01	1.162115e-01	1.464581e+00	2.302305e+00	1.324387e-01
55.7390869042681416	1.307385e-01	1.162115e-01	1.464640e+00	2.302649e+00	1.324367e-01
55.739145959597586	1.307391e-01	1.162112e-01	1.464668e+00	2.302626e+00	1.324337e-01
55.7392049983710649	1.307393e-01	1.162112e-01	1.464658e+00	2.302349e+00	1.324287e-01
55.7392640196276048	1.307395e-01	1.162112e-01	1.464691e+00	2.302920e+00	1.324273e-01
55.7393230219662001	1.307397e-01	1.162112e-01	1.464710e+00	2.302160e+00	1.324237e-01
55.7393820043736099	1.307399e-01	1.162112e-01	1.464729e+00	2.301979e+00	1.324197e-01
55.7394409661999077	1.307401e-01	1.162112e-01	1.464760e+00	2.302195e+00	1.324182e-01
55.7394966905387363	1.307403e-01	1.162113e-01	1.464788e+00	2.302571e+00	1.324148e-01
55.7395555989444205	1.307404e-01	1.162113e-01	1.464806e+00	2.302277e+00	1.324123e-01
55.7396090817545513	1.307406e-01	1.162113e-01	1.464818e+00	2.302697e+00	1.324080e-01
55.7396679365291661	1.307408e-01	1.162114e-01	1.464827e+00	2.302179e+00	1.324066e-01
55.7397267803478869	1.307410e-01	1.162114e-01	1.464849e+00	2.302861e+00	1.324021e-01
55.7397856071275015	1.307412e-01	1.162114e-01	1.464865e+00	2.303046e+00	1.323994e-01
55.7398444159960249	1.307414e-01	1.162114e-01	1.464872e+00	2.302849e+00	1.323965e-01
55.7399032101157417	1.307416e-01	1.162114e-01	1.464893e+00	2.302976e+00	1.323927e-01
55.7399619922001293	1.307418e-01	1.162114e-01	1.464909e+00	2.303358e+00	1.323870e-01
55.74002076380674	1.307423e-01	1.162111e-01	1.464920e+00	2.302984e+00	1.323838e-01
55.7400795255469745	1.307425e-01	1.162111e-01	1.464935e+00	2.303365e+00	1.323811e-01
55.7401382780067891	1.307427e-01	1.162111e-01	1.464945e+00	2.303485e+00	1.323774e-01
55.7401970222005545	1.307429e-01	1.162111e-01	1.464950e+00	2.302617e+00	1.323743e-01
55.7402557594664358	1.307431e-01	1.162110e-01	1.464971e+00	2.302400e+00	1.323721e-01
55.7403144891025875	1.307433e-01	1.162110e-01	1.464994e+00	2.302534e+00	1.323711e-01
55.7403732086071955	1.307435e-01	1.162110e-01	1.465017e+00	2.303187e+00	1.323670e-01
55.7404319139078055	1.307437e-01	1.162110e-01	1.465013e+00	2.302566e+00	1.323633e-01
55.7404905993565976	1.307439e-01	1.162110e-01	1.465017e+00	2.302378e+00	1.323604e-01
55.7405462937685954	1.307441e-01	1.162110e-01	1.465036e+00	2.302985e+00	1.323563e-01
55.7406049113805366	1.307442e-01	1.162110e-01	1.465039e+00	2.302755e+00	1.323528e-01
55.7406584629773079	1.307444e-01	1.162110e-01	1.465065e+00	2.302835e+00	1.323489e-01
55.7407169886769651	1.307446e-01	1.162109e-01	1.465088e+00	2.303052e+00	1.323467e-01
55.7407754842918948	1.307448e-01	1.162109e-01	1.465103e+00	2.303759e+00	1.323421e-01
55.7408339396417674	1.307450e-01	1.162109e-01	1.465110e+00	2.302963e+00	1.323398e-01
55.7408923498360807	1.307452e-01	1.162109e-01	1.465103e+00	2.303150e+00	1.323345e-01
55.7409507121392238	1.307454e-01	1.162109e-01	1.465110e+00	2.303112e+00	1.323317e-01
55.7410090245304417	1.307456e-01	1.162109e-01	1.465117e+00	2.302528e+00	1.323282e-01
55.7410672856257108	1.307458e-01	1.162109e-01	1.465141e+00	2.302201e+00	1.323258e-01
55.7411254950919499	1.307463e-01	1.162106e-01	1.465157e+00	2.302641e+00	1.323238e-01
