U.waterMean:0,U.waterMean:1,U.waterMean:2,U.air:0,U.air:1,U.air:2,U.water:0,U.water:1,U.water:2,U.airMean:0,U.airMean:1,U.airMean:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-0.0068031,0.028784,0.24069,0.010778,0.020762,0.48396,-0.0026535,0.01949,0.24049,0.0092797,0.028436,0.4819,1,0.08632,0.034,0.034,0.09568
-0.0089834,0.028788,0.24067,0.0086128,0.021879,0.48346,-0.0042902,0.019574,0.2399,0.0061378,0.029396,0.48208,1,0.08736,0.034,0.034,0.09464
-0.011127,0.028758,0.24063,0.0064846,0.022906,0.48298,-0.0059008,0.019619,0.2393,0.0030506,0.030277,0.48228,1,0.0884,0.034,0.034,0.0936
-0.01327,0.028728,0.24059,0.0043564,0.023933,0.4825,-0.0075114,0.019664,0.2387,-0.000036683,0.031158,0.48247,1,0.08944,0.034,0.034,0.09256
-0.01505,0.028428,0.24036,0.0025727,0.024352,0.48191,-0.0088717,0.019432,0.23799,-0.0025964,0.031472,0.48249,1,0.09048,0.034,0.034,0.09152
-0.016765,0.02808,0.2401,0.00085073,0.024662,0.48131,-0.010187,0.019151,0.23727,-0.0050615,0.031684,0.48248,1,0.09152,0.034,0.034,0.09048
-0.018481,0.027732,0.23984,-0.00087121,0.024971,0.4807,-0.011503,0.018869,0.23654,-0.0075266,0.031896,0.48247,1,0.09256,0.034,0.034,0.08944
-0.019907,0.027211,0.23942,-0.00232,0.024933,0.48,-0.012618,0.018427,0.23572,-0.0095667,0.031769,0.4823,1,0.0936,0.034,0.034,0.0884
-0.021253,0.026642,0.23895,-0.0036936,0.024799,0.47928,-0.013678,0.01794,0.23487,-0.01149,0.031549,0.48208,1,0.09464,0.034,0.034,0.08736
-0.0226,0.026073,0.23848,-0.0050672,0.024666,0.47856,-0.014738,0.017454,0.23401,-0.013413,0.031329,0.48186,1,0.09568,0.034,0.034,0.08632
-0.023729,0.025394,0.23786,-0.006248,0.024339,0.47773,-0.015649,0.016878,0.23308,-0.015026,0.030907,0.48148,1,0.09672,0.034,0.034,0.08528
-0.024775,0.024673,0.23719,-0.007354,0.023937,0.47687,-0.016502,0.016268,0.2321,-0.016519,0.030408,0.48103,1,0.09776,0.034,0.034,0.08424
-0.025821,0.023952,0.23652,-0.00846,0.023534,0.476,-0.017354,0.015658,0.23113,-0.018012,0.029908,0.48059,1,0.0988,0.034,0.034,0.0832
-0.026706,0.023161,0.23573,-0.0094286,0.023029,0.47506,-0.018096,0.014999,0.23009,-0.019285,0.029292,0.48,1,0.09984,0.034,0.034,0.08216
-0.027508,0.022334,0.23488,-0.010325,0.02247,0.47407,-0.01878,0.014314,0.22901,-0.020445,0.028615,0.47935,1,0.10088,0.034,0.034,0.08112
-0.02831,0.021506,0.23403,-0.011222,0.021912,0.47308,-0.019465,0.013629,0.22793,-0.021604,0.027938,0.47869,1,0.10192,0.034,0.034,0.08008
-0.028996,0.020634,0.2331,-0.012022,0.021299,0.47202,-0.020066,0.012918,0.2268,-0.022611,0.027191,0.47793,1,0.10296,0.034,0.034,0.07904
-0.029602,0.01973,0.2321,-0.012754,0.020648,0.47093,-0.02061,0.012187,0.22563,-0.023514,0.026397,0.47709,1,0.104,0.034,0.034,0.078
